uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q33179634,Emmanuel Danan,1976,education,http://www.wikidata.org/entity/Q3268806,Lycée Lavoisier,1,educational facility,1971-2000,['educational facility']
http://www.wikidata.org/entity/Q33179634,Emmanuel Danan,1976,education,http://www.wikidata.org/entity/Q859363,Sciences Po,5,academic publisher | grand établissement | grande école | organization | public university,1971-2000,"['academic publisher', 'grand établissement', 'grande école', 'organization', 'public university']"
http://www.wikidata.org/entity/Q33182243,Guillaume Descotte,1977,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1971-2000,['grande école']
http://www.wikidata.org/entity/Q33182243,Guillaume Descotte,1977,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1971-2000,"['alumni association', 'organization']"
http://www.wikidata.org/entity/Q33183646,Dominique Thillaud,1968,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1941-1970,"['alumni association', 'organization']"
http://www.wikidata.org/entity/Q33183646,Dominique Thillaud,1968,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1941-1970,['grande école']
http://www.wikidata.org/entity/Q33183646,Dominique Thillaud,1968,education,http://www.wikidata.org/entity/Q1665124,ISC paris business school,1,business school,1941-1970,['business school']
http://www.wikidata.org/entity/Q3318591,Mohamed Horani,1953,education,http://www.wikidata.org/entity/Q2737222,National Institute of Statistics and Applied Economics,3,grande école | higher education institution | research institute,1941-1970,"['grande école', 'higher education institution', 'research institute']"
http://www.wikidata.org/entity/Q33197585,Olivier Brourhant,1974,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1971-2000,"['alumni association', 'organization']"
http://www.wikidata.org/entity/Q33197585,Olivier Brourhant,1974,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1971-2000,['grande école']
http://www.wikidata.org/entity/Q33197585,Olivier Brourhant,1974,education,http://www.wikidata.org/entity/Q1633859,Institut National des Sciences Appliquées de Lyon,1,grande école,1971-2000,['grande école']
http://www.wikidata.org/entity/Q33206589,Quentin Beriot,1972,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1971-2000,"['alumni association', 'organization']"
http://www.wikidata.org/entity/Q33206589,Quentin Beriot,1972,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1971-2000,['grande école']
http://www.wikidata.org/entity/Q33206589,Quentin Beriot,1972,education,http://www.wikidata.org/entity/Q3151887,Institut d'Administration des Entreprises,1,academic institution,1971-2000,['academic institution']
http://www.wikidata.org/entity/Q33206589,Quentin Beriot,1972,education,http://www.wikidata.org/entity/Q3117441,INSEEC School of Business and Economics,2,business school | grande école,1971-2000,"['business school', 'grande école']"
http://www.wikidata.org/entity/Q33206589,Quentin Beriot,1972,education,http://www.wikidata.org/entity/Q3151959,Grenoble Institute of Political Studies,2,grande école | institut d'études politiques,1971-2000,"['grande école', ""institut d'études politiques""]"
http://www.wikidata.org/entity/Q33206589,Quentin Beriot,1972,education,http://www.wikidata.org/entity/Q1546437,Paris Dauphine University,2,grand établissement | university in france,1971-2000,"['grand établissement', 'university in france']"
http://www.wikidata.org/entity/Q33206768,Marc-Antoine Olive,1976,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1971-2000,"['alumni association', 'organization']"
